,name,description,num_of_employees,cum_of_investments,revenue
0,솜씨당컴퍼니,"온, 오프라인 취미여가 플랫폼 '솜씨당'을 운영하는 기업",39,45억 이상,16.3억
1,트래블메이커스,"호텔 롱스테이 플랫폼 '호텔에삶'과 커스텀 여행 플랫폼 '트래블메이커', '코로나프리맵'을 운영하는 기업",19,10억 이상,40억
2,우아한형제들,배달음식 중개플랫폼 '배달의민족'을 운영하는 기업,"1,938",4.6조,2조
3,버킷플레이스,인테리어 콘텐츠 공유 커뮤니티 및 커머스 플랫폼 '오늘의집'을 운영하는 기업,587,"3,180억 이상","1,176.2억"
4,컬리,신선제품 새벽배송 서비스 플랫폼 '마켓컬리'를 운영하는 기업,"2,379","8,832억 이상",1.5조
5,비바리퍼블리카,모바일 금융 종합 서비스 '토스'를 운영하는 기업,830,1.4조,"2,290.1억"
6,클래스101,온라인 기반 취미 클래스 플랫폼 '클래스101'을 운영하는 기업,323,431.1억,866억
7,당근마켓,지역 기반 중고 직거래 플랫폼 '당근마켓'을 운영하는 기업,370,"2,259억",-
8,발란,명품 커머스 플랫폼 '발란'을 운영하는 기업,128,735억 이상,521.7억
9,무신사,패션 커머스 플랫폼 '무신사스토어'를 운영하는 기업,"1,309","3,200억","4,024.4억"
10,브랜디,"패션 커머스 플랫폼 '브랜디', '하이버' 등을 운영하는 기업",399,"1,344억 이상","1,261.9억"
11,아토머스,정신건강 플랫폼 '마인드카페'를 운영하는 기업,71,337억 이상,22.1억
12,야놀자,"숙박, 여행 정보 제공 및 예약 서비스 '야놀자'를 운영하는 기업","1,165",2.3조,"2,809.1억"
13,의식주컴퍼니,비대면 세탁 플랫폼 '런드리고'를 운영하는 기업,539,"1,225억",130.2억
14,핏펫,반려동물 대상 건강관리 플랫폼 '핏펫'을 운영하는 기업,226,558억 이상,223.4억
